"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","54/1055","134/10899",2.93878761783079e-21,3.92328146980411e-18,3.75855469017307e-18,"CD8A/ITGA4/SELL/CD22/CD19/ITGB7/SLAMF6/ITGAL/SLAMF7/KLRD1/CD3D/CD96/CRTAM/CD3E/CD3G/ICAM3/ITGB2/CD226/KLRK1/KLRC4-KLRK1/CD247/LILRB1/SH2D1A/LILRB4/CD8B/JAML/MICB/CLEC2D/VCAM1/ICAM1/TREML2/CD40LG/SIGLEC10/SIGLEC8/CD81/HLA-F/LILRA4/B2M/FCGR3A/CD40/HLA-C/NCR3/KLRC1/HLA-B/CD200R1/FCGR1A/CXADR/SIGLEC9/LAIR2/CD300LF/SIGLEC7/KIR2DL1/SIGLEC12/CD300LG",54
"R-HSA-877300","Interferon gamma signaling","37/1055","92/10899",6.19523469540751e-15,4.13531915918451e-12,3.96168955522112e-12,"GBP5/STAT1/CIITA/OAS2/GBP4/GBP1/IRF8/OAS3/HLA-DQA1/OASL/TRIM22/HLA-DRA/HLA-DPA1/OAS1/IRF9/HLA-DQB1/HLA-DQB2/IRF1/VCAM1/PTPN1/ICAM1/JAK2/HLA-DRB1/HLA-F/PTPN6/B2M/TRIM14/HLA-C/IFNG/IRF4/MT2A/GBP2/IRF6/PTAFR/HLA-B/FCGR1A/NCAM1",37
"R-HSA-913531","Interferon Signaling","57/1055","200/10899",2.39501126660949e-14,1.06578001364122e-11,1.02103111892299e-11,"GBP5/STAT1/CIITA/OAS2/GBP4/XAF1/GBP1/IRF8/OAS3/HLA-DQA1/OASL/RSAD2/TRIM22/HLA-DRA/ISG20/HLA-DPA1/MX1/OAS1/IRF9/IFIT2/HLA-DQB1/IFNAR2/HLA-DQB2/IRF1/UBE2L6/STAT2/IFIT3/VCAM1/PTPN1/ICAM1/JAK2/EIF2AK2/HLA-DRB1/ADAR/HLA-F/PTPN6/PSMB8/B2M/TRIM14/NUP210/HLA-C/IFNG/IRF4/MT2A/USP18/GBP2/BST2/IRF6/HERC5/PTAFR/IFIT5/KPNA2/HLA-B/MX2/FCGR1A/IFIT1/NCAM1",57
"R-HSA-909733","Interferon alpha/beta signaling","31/1055","72/10899",1.07389886115328e-13,3.58413744909908e-11,3.43365030605589e-11,"STAT1/OAS2/XAF1/IRF8/OAS3/OASL/RSAD2/ISG20/MX1/OAS1/IRF9/IFIT2/IFNAR2/IRF1/STAT2/IFIT3/PTPN1/ADAR/HLA-F/PTPN6/PSMB8/HLA-C/IRF4/USP18/GBP2/BST2/IRF6/IFIT5/HLA-B/MX2/IFIT1",31
"R-HSA-202433","Generation of second messenger molecules","20/1055","34/10899",1.63276773970073e-12,4.35948986500095e-10,4.17644800786607e-10,"ITK/FYB1/LCK/CD3D/ZAP70/GRAP2/HLA-DQA1/CD3E/CD3G/LCP2/HLA-DRA/HLA-DPA1/CD247/HLA-DQB1/HLA-DQB2/WAS/CD4/CD101/PLCG2/HLA-DRB1",20
"R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains","16/1055","22/10899",2.27322938795358e-12,5.05793538819672e-10,4.84556790590106e-10,"PTPRC/LCK/CD3D/PAG1/HLA-DQA1/CD3E/CD3G/PTPN22/HLA-DRA/HLA-DPA1/CD247/HLA-DQB1/HLA-DQB2/CD4/HLA-DRB1/PTPRJ",16
"R-HSA-389948","PD-1 signaling","16/1055","23/10899",6.79911420364244e-12,1.29668820883752e-09,1.24224417404896e-09,"LCK/CD3D/CD274/HLA-DQA1/CD3E/CD3G/HLA-DRA/HLA-DPA1/CD247/HLA-DQB1/HLA-DQB2/PDCD1/CD4/PDCD1LG2/HLA-DRB1/PTPN6",16
"R-HSA-202430","Translocation of ZAP-70 to Immunological synapse","14/1055","19/10899",4.27322260710673e-11,7.13094022560935e-09,6.83153351004562e-09,"LCK/CD3D/ZAP70/HLA-DQA1/CD3E/CD3G/PTPN22/HLA-DRA/HLA-DPA1/CD247/HLA-DQB1/HLA-DQB2/CD4/HLA-DRB1",14
"R-HSA-380108","Chemokine receptors bind chemokines","22/1055","59/10899",1.06706633427149e-08,1.52982998010148e-06,1.46559702410668e-06,"CXCL9/CXCL10/CCR5/CXCR6/CXCR4/CCR4/CCL5/CCR2/CXCL13/CCR7/CXCR3/CCL19/CXCL11/XCL1/CCR8/CCL11/CCRL2/CCR1/XCR1/XCL2/CCR6/CCL21",22
"R-HSA-388841","Costimulation by the CD28 family","24/1055","69/10899",1.14594006000111e-08,1.52982998010148e-06,1.46559702410668e-06,"LCK/CD3D/CD274/GRAP2/HLA-DQA1/BTLA/CTLA4/CD3E/ICOS/CD3G/VAV1/HLA-DRA/HLA-DPA1/CD28/CD247/HLA-DQB1/HLA-DQB2/PDCD1/CD4/PDCD1LG2/HLA-DRB1/CD86/PTPN6/CD80",24
